Team,Req ,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,Leave per team,,,,,,,,,,
3,7,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,-3,-3,-3,-3,,subobs,-3,,,
2,6,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,-2,-2,-2,-2,,ds,-2,,,
2,2,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,-2,-2,-2,-2,,9ab,-2,,,
1,0,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,-1,-1,-1,-1,,go,-1,,,
1,0,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,-1,-1,-1,-1,,b1,-1,,,
1,0,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,-1,-1,-1,-1,,bg,-1,,,
,0,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,0,0,0,0,,leave,0,,,
1,0,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,-1,-1,-1,-1,,post_call_cover,-1,,,
Team,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,Calls per team,,,,,,,,,,
subobs,,subobs,0,0,0,0,0,,subobs,0,0,1,0,0,,subobs,0,1,0,1,1,,subobs,1,0,0,0,1,,subobs,1,0,0,0,0,,subobs,0,0,0,0,0,,subobs,0,0,0,0,0,,subobs,0,0,0,0,0,,subobs,0,,,
ds,,ds,0,0,0,0,1,,ds,0,0,0,0,0,,ds,0,0,0,0,0,,ds,0,0,1,0,0,,ds,0,0,0,0,0,,ds,0,0,0,0,0,,ds,0,0,0,0,0,,ds,0,0,0,0,0,,ds,0,,,
9ab,,9ab,0,0,1,0,0,,9ab,1,1,0,1,0,,9ab,1,0,1,0,0,,9ab,0,0,0,1,0,,9ab,0,0,0,0,0,,9ab,0,0,0,0,0,,9ab,0,0,0,0,0,,9ab,0,0,0,0,0,,9ab,0,,,
go,,go,1,0,0,1,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,0,0,0,0,,go,0,,,
b1,,b1,0,1,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,0,0,0,0,,b1,0,,,
bg,,bg,0,0,0,0,0,,bg,0,0,0,0,1,,bg,0,0,0,0,0,,bg,0,1,0,0,0,,bg,0,0,0,0,0,,bg,0,0,0,0,0,,bg,0,0,0,0,0,,bg,0,0,0,0,0,,bg,0,,,
